"year","state","party","ecv","pct","votes"
1980,"OREGON","dem",0,9.5,112389
1980,"OREGON","other",6,48.3,571044
1980,"OREGON","rep",0,38.7,456890
1980,"PENNSYLVANIA","dem",0,6.4,292921
1980,"PENNSYLVANIA","other",27,49.6,2261872
1980,"PENNSYLVANIA","rep",0,42.5,1937540
1980,"RHODE ISLAND","dem",0,14.4,59819
1980,"RHODE ISLAND","other",0,37.2,154793
1980,"RHODE ISLAND","rep",4,47.7,198342
1980,"SOUTH CAROLINA","dem",0,1.6,14153
1980,"SOUTH CAROLINA","other",8,49.4,441841
1980,"SOUTH CAROLINA","rep",0,48.1,430385
1980,"SOUTH DAKOTA","dem",0,6.5,21431
1980,"SOUTH DAKOTA","other",4,60.5,198343
1980,"SOUTH DAKOTA","rep",0,31.7,103855
1980,"TENNESSEE","dem",0,2.2,35991
1980,"TENNESSEE","other",10,48.7,787761
1980,"TENNESSEE","rep",0,48.4,783051
1980,"TEXAS","dem",0,2.5,111613
1980,"TEXAS","other",26,55.3,2510705
1980,"TEXAS","rep",0,41.4,1881147
1980,"UTAH","dem",0,5,30284
1980,"UTAH","other",4,72.8,439687
1980,"UTAH","rep",0,20.6,124266
1980,"VERMONT","dem",0,14.9,31761
1980,"VERMONT","other",3,44.4,94628
1980,"VERMONT","rep",0,38.4,81952
1980,"VIRGINIA","dem",0,5.1,95418
1980,"VIRGINIA","other",11,53,989609
1980,"VIRGINIA","rep",0,40.3,752174
1980,"WASHINGTON","dem",0,10.6,185073
1980,"WASHINGTON","other",8,49.7,865244
1980,"WASHINGTON","rep",0,37.3,650193
1980,"WEST VIRGINIA","dem",0,4.3,31691
1980,"WEST VIRGINIA","other",0,45.3,334206
1980,"WEST VIRGINIA","rep",6,49.8,367462
1980,"WISCONSIN","dem",0,7.1,160657
1980,"WISCONSIN","other",11,47.9,1088845
1980,"WISCONSIN","rep",0,43.2,981584
1980,"WYOMING","dem",0,6.8,12072
1980,"WYOMING","other",3,62.6,110700
1980,"WYOMING","rep",0,28,49427
1984,"ALABAMA","dem",0,38.3,551899
1984,"ALABAMA","rep",9,60.5,872849
1984,"ALASKA","dem",0,29.9,62007
1984,"ALASKA","rep",3,66.6,138377
1984,"ARIZONA","dem",0,32.5,333854
1984,"ARIZONA","rep",7,66.4,681416
1984,"ARKANSAS","dem",0,38.3,338646
1984,"ARKANSAS","rep",6,60.5,534774
1984,"CALIFORNIA","dem",0,41.3,3922519
1984,"CALIFORNIA","rep",47,57.5,5467009
1984,"COLORADO","dem",0,35.1,454975
1984,"COLORADO","rep",8,63.4,821817
1984,"CONNECTICUT","dem",0,38.8,569597
1984,"CONNECTICUT","rep",8,60.7,890877
1984,"DELAWARE","dem",0,39.9,101656
1984,"DELAWARE","rep",3,59.8,152190
1984,"DISTRICT OF COLUMBIA","dem",3,85.4,180408
1984,"DISTRICT OF COLUMBIA","rep",0,13.7,29009
1984,"FLORIDA","dem",0,34.7,1448816
1984,"FLORIDA","rep",21,65.3,2730350
1984,"GEORGIA","dem",0,39.8,706628
1984,"GEORGIA","rep",12,60.2,1068722
1984,"HAWAII","dem",0,43.8,147154
1984,"HAWAII","rep",4,55.1,185050
1984,"IDAHO","dem",0,26.4,108510
1984,"IDAHO","rep",4,72.4,297523
1984,"ILLINOIS","dem",0,43.3,2086499
1984,"ILLINOIS","rep",24,56.2,2707103
1984,"INDIANA","dem",0,37.7,841481
1984,"INDIANA","rep",12,61.7,1377230
1984,"IOWA","dem",0,45.9,605620
1984,"IOWA","rep",8,53.3,703088
1984,"KANSAS","dem",0,32.6,333149
1984,"KANSAS","rep",7,66.3,677296
1984,"KENTUCKY","dem",0,39.4,539539
1984,"KENTUCKY","rep",9,60,821702
1984,"LOUISIANA","dem",0,38.2,651586
1984,"LOUISIANA","rep",10,60.8,1037299
1984,"MAINE","dem",0,38.8,214515
1984,"MAINE","rep",4,60.8,336500
1984,"MARYLAND","dem",0,47,787935
1984,"MARYLAND","rep",10,52.5,879918
1984,"MASSACHUSETTS","dem",0,48.4,1239616
1984,"MASSACHUSETTS","rep",13,51.2,1310936
1984,"MICHIGAN","dem",0,40.2,1529638
1984,"MICHIGAN","rep",20,59.2,2251571
1984,"MINNESOTA","dem",10,49.7,1036364
1984,"MINNESOTA","rep",0,49.5,1032603
1984,"MISSISSIPPI","dem",0,37.4,352192
1984,"MISSISSIPPI","rep",7,61.9,582377
1984,"MISSOURI","dem",0,40,848583
1984,"MISSOURI","rep",11,60,1274188
1984,"MONTANA","dem",0,38.2,146742
1984,"MONTANA","rep",4,60.5,232450
1984,"NEBRASKA","dem",0,28.8,187866
1984,"NEBRASKA","rep",5,70.6,460054
1984,"NEVADA","dem",0,32,91655
1984,"NEVADA","rep",4,65.8,188770
1984,"NEW HAMPSHIRE","dem",0,30.9,120347
1984,"NEW HAMPSHIRE","rep",4,68.6,267050
1984,"NEW JERSEY","dem",0,39.2,1261323
1984,"NEW JERSEY","rep",16,60.1,1933630
1984,"NEW MEXICO","dem",0,39.2,201769
1984,"NEW MEXICO","rep",5,59.7,307101
1984,"NEW YORK","dem",0,45.8,3119609
1984,"NEW YORK","rep",36,53.8,3664763
1984,"NORTH CAROLINA","dem",0,37.9,824287
1984,"NORTH CAROLINA","rep",13,61.9,1346481
1984,"NORTH DAKOTA","dem",0,33.8,104429
1984,"NORTH DAKOTA","rep",3,64.8,200336
1984,"OHIO","dem",0,40.1,1825440
1984,"OHIO","rep",23,58.9,2678560
1984,"OKLAHOMA","dem",0,30.7,385080
1984,"OKLAHOMA","rep",8,68.6,861530
1984,"OREGON","dem",0,43.7,536479
1984,"OREGON","rep",7,55.9,685700
1984,"PENNSYLVANIA","dem",0,46,2228131
1984,"PENNSYLVANIA","rep",25,53.3,2584323
1984,"RHODE ISLAND","dem",0,47.9,197106
1984,"RHODE ISLAND","rep",4,51.8,212080
1984,"SOUTH CAROLINA","dem",0,35.6,344459
1984,"SOUTH CAROLINA","rep",8,63.6,615539
1984,"SOUTH DAKOTA","dem",0,36.5,116113
1984,"SOUTH DAKOTA","rep",3,63,200267
1984,"TENNESSEE","dem",0,41.6,711714
1984,"TENNESSEE","rep",11,57.8,990212
1984,"TEXAS","dem",0,36.1,1949276
1984,"TEXAS","rep",29,63.6,3433428
1984,"UTAH","dem",0,24.7,155369
1984,"UTAH","rep",5,74.5,469105
1984,"VERMONT","dem",0,40.8,95730
1984,"VERMONT","rep",3,57.9,135865
1984,"VIRGINIA","dem",0,37.1,796250
1984,"VIRGINIA","rep",12,62.3,1337078
1984,"WASHINGTON","dem",0,42.9,807352
1984,"WASHINGTON","rep",10,56.2,1051670
1984,"WEST VIRGINIA","dem",0,44.3,328125
1984,"WEST VIRGINIA","rep",6,54.7,405483
1984,"WISCONSIN","dem",0,45.1,995740
1984,"WISCONSIN","rep",11,54.3,1198584
1984,"WYOMING","dem",0,27.7,53370
1984,"WYOMING","rep",3,69.1,133241
1988,"ALABAMA","dem",9,59.7,815576
1988,"ALABAMA","rep",0,40.3,549506
1988,"ALASKA","dem",3,59.6,119251
1988,"ALASKA","rep",0,36.3,72584
1988,"ARIZONA","dem",7,60.7,702541
1988,"ARIZONA","rep",0,39.3,454029
1988,"ARKANSAS","dem",6,57.2,466578
1988,"ARKANSAS","rep",0,42.8,349237
1988,"CALIFORNIA","dem",47,51.8,5054917
1988,"CALIFORNIA","rep",0,48.2,4702233
1988,"COLORADO","dem",8,53.9,728155
1988,"COLORADO","rep",0,46.1,621453
1988,"CONNECTICUT","dem",8,52.6,750241
1988,"CONNECTICUT","rep",0,47.4,676584
1988,"DELAWARE","dem",3,56.3,139689
1988,"DELAWARE","rep",0,43.7,108532
1988,"DISTRICT OF COLUMBIA","dem",0,14.7,27590
1988,"DISTRICT OF COLUMBIA","rep",3,85.3,159407
1988,"FLORIDA","dem",21,61.2,2618885
1988,"FLORIDA","rep",0,38.8,1656701
1988,"GEORGIA","dem",12,60.2,1081331
1988,"GEORGIA","rep",0,39.8,714792
1988,"HAWAII","dem",0,45.2,158625
1988,"HAWAII","rep",4,54.8,192364
1988,"IDAHO","dem",4,63.3,253881
1988,"IDAHO","rep",0,36.7,147272
1988,"ILLINOIS","dem",24,51,2310939
1988,"ILLINOIS","rep",0,49,2215940
1988,"INDIANA","dem",12,60.1,1297763
1988,"INDIANA","rep",0,39.9,860643
1988,"IOWA","dem",0,44.8,545355
1988,"IOWA","rep",8,55.1,670557
1988,"KANSAS","dem",7,56.5,549049
1988,"KANSAS","rep",0,43.5,422636
1988,"KENTUCKY","dem",9,55.8,734281
1988,"KENTUCKY","rep",0,44.2,580368
1988,"LOUISIANA","dem",10,55.2,883702
1988,"LOUISIANA","rep",0,44.8,717460
1988,"MAINE","dem",4,55.8,307131
1988,"MAINE","rep",0,44.2,243569
1988,"MARYLAND","dem",10,51.5,876167
1988,"MARYLAND","rep",0,48.5,826304
1988,"MASSACHUSETTS","dem",0,46,1194635
1988,"MASSACHUSETTS","rep",13,54,1401415
1988,"MICHIGAN","dem",20,54,1965485
1988,"MICHIGAN","rep",0,46,1675783
1988,"MINNESOTA","dem",0,46.4,962337
1988,"MINNESOTA","rep",10,53.6,1109471
1988,"MISSISSIPPI","dem",7,60.5,557921
1988,"MISSISSIPPI","rep",0,39.5,363921
1988,"MISSOURI","dem",11,52,1084953
1988,"MISSOURI","rep",0,48,1001619
1988,"MONTANA","dem",4,53,190412
1988,"MONTANA","rep",0,47,168956
1988,"NEBRASKA","dem",5,60.5,397956
1988,"NEBRASKA","rep",0,39.5,259235
1988,"NEVADA","dem",4,60.8,206040
1988,"NEVADA","rep",0,39.2,132738
1988,"NEW HAMPSHIRE","dem",4,63.2,281537
1988,"NEW HAMPSHIRE","rep",0,36.8,163696
1988,"NEW JERSEY","dem",16,56.9,1743192
1988,"NEW JERSEY","rep",0,43.1,1320352
1988,"NEW MEXICO","dem",5,52.5,270341
1988,"NEW MEXICO","rep",0,47.5,244497
1988,"NEW YORK","dem",0,47.9,3081871
1988,"NEW YORK","rep",36,52.1,3347882
1988,"NORTH CAROLINA","dem",13,58.1,1237258
1988,"NORTH CAROLINA","rep",0,41.9,890167
1988,"NORTH DAKOTA","dem",3,56.6,166559
1988,"NORTH DAKOTA","rep",0,43.4,127739
1988,"OHIO","dem",23,55.5,2416549
1988,"OHIO","rep",0,44.6,1939629
1988,"OKLAHOMA","dem",8,58.4,678367
1988,"OKLAHOMA","rep",0,41.6,483423
1988,"OREGON","dem",0,47.6,560126
1988,"OREGON","rep",7,52.4,616206
1988,"PENNSYLVANIA","dem",25,51.2,2300087
1988,"PENNSYLVANIA","rep",0,48.8,2194944
1988,"RHODE ISLAND","dem",0,44.1,177761
1988,"RHODE ISLAND","rep",4,55.9,225123
1988,"SOUTH CAROLINA","dem",8,62.1,606443
1988,"SOUTH CAROLINA","rep",0,37.9,370554
1988,"SOUTH DAKOTA","dem",3,53.2,165415
1988,"SOUTH DAKOTA","rep",0,47.8,145560
1988,"TENNESSEE","dem",11,58.2,947233
1988,"TENNESSEE","rep",0,41.8,679794
1988,"TEXAS","dem",29,56.3,3036829
1988,"TEXAS","rep",0,43.7,2352748
1988,"UTAH","dem",5,68.5,428442
1988,"UTAH","rep",0,31.5,207343
1988,"VERMONT","dem",3,51.8,124331
1988,"VERMONT","rep",0,48.2,115775
1988,"VIRGINIA","dem",12,60.3,1309162
1988,"VIRGINIA","rep",0,39.7,859799
1988,"WASHINGTON","dem",0,49.2,903835
1988,"WASHINGTON","rep",10,50.8,933516
1988,"WEST VIRGINIA","dem",0,47.6,310065
1988,"WEST VIRGINIA","rep",6,52.4,341016
1988,"WISCONSIN","dem",0,48.2,1047499
1988,"WISCONSIN","rep",11,51.8,1126794
1988,"WYOMING","dem",3,61.4,106867
1988,"WYOMING","rep",0,38.6,67113
1992,"ALABAMA","dem",9,47.9,804283
