"state","period","measure","unempl_rate"
"Pennsylvania","Mar 1976","not seasonally adjusted","8.6"
"Rhode Island","Mar 1976","not seasonally adjusted","9"
"South Carolina","Mar 1976","not seasonally adjusted","7"
"South Dakota","Mar 1976","not seasonally adjusted","4.1"
"Tennessee","Mar 1976","not seasonally adjusted","6"
"Texas","Mar 1976","not seasonally adjusted","5.7"
"Utah","Mar 1976","not seasonally adjusted","6.3"
"Vermont","Mar 1976","not seasonally adjusted","9.5"
"Virginia","Mar 1976","not seasonally adjusted","6.2"
"Washington","Mar 1976","not seasonally adjusted","9.8"
"West Virginia","Mar 1976","not seasonally adjusted","8.8"
"Wisconsin","Mar 1976","not seasonally adjusted","6.6"
"Wyoming","Mar 1976","not seasonally adjusted","4.9"
"Alabama","Apr 1976","seasonally adjusted","6.5"
"Alaska","Apr 1976","seasonally adjusted","7"
"Arizona","Apr 1976","seasonally adjusted","10"
"Arkansas","Apr 1976","seasonally adjusted","7.3"
"California","Apr 1976","seasonally adjusted","9"
"Colorado","Apr 1976","seasonally adjusted","5.5"
"Connecticut","Apr 1976","seasonally adjusted","9.7"
"Delaware","Apr 1976","seasonally adjusted","8.1"
"District of Columbia","Apr 1976","seasonally adjusted","8.8"
"Florida","Apr 1976","seasonally adjusted","9.3"
"Georgia","Apr 1976","seasonally adjusted","8.2"
"Hawaii","Apr 1976","seasonally adjusted","10.1"
"Idaho","Apr 1976","seasonally adjusted","5.5"
"Illinois","Apr 1976","seasonally adjusted","6.6"
"Indiana","Apr 1976","seasonally adjusted","6.2"
"Iowa","Apr 1976","seasonally adjusted","4.1"
"Kansas","Apr 1976","seasonally adjusted","4.3"
"Kentucky","Apr 1976","seasonally adjusted","5.5"
"Louisiana","Apr 1976","seasonally adjusted","6.5"
"Maine","Apr 1976","seasonally adjusted","8.6"
"Maryland","Apr 1976","seasonally adjusted","6.5"
"Massachusetts","Apr 1976","seasonally adjusted","10.1"
"Michigan","Apr 1976","seasonally adjusted","9.7"
"Minnesota","Apr 1976","seasonally adjusted","5.8"
"Mississippi","Apr 1976","seasonally adjusted","6.4"
"Missouri","Apr 1976","seasonally adjusted","6"
"Montana","Apr 1976","seasonally adjusted","5.9"
"Nebraska","Apr 1976","seasonally adjusted","3.2"
"Nevada","Apr 1976","seasonally adjusted","8.9"
"New Hampshire","Apr 1976","seasonally adjusted","6.7"
"New Jersey","Apr 1976","seasonally adjusted","10.3"
"New Mexico","Apr 1976","seasonally adjusted","8.9"
"New York","Apr 1976","seasonally adjusted","10.2"
"North Carolina","Apr 1976","seasonally adjusted","6.2"
"North Dakota","Apr 1976","seasonally adjusted","3.4"
"Ohio","Apr 1976","seasonally adjusted","8"
"Oklahoma","Apr 1976","seasonally adjusted","5.9"
"Oregon","Apr 1976","seasonally adjusted","9.4"
"Pennsylvania","Apr 1976","seasonally adjusted","8.1"
"Rhode Island","Apr 1976","seasonally adjusted","8.1"
"South Carolina","Apr 1976","seasonally adjusted","7.3"
"South Dakota","Apr 1976","seasonally adjusted","3.1"
"Tennessee","Apr 1976","seasonally adjusted","5.9"
"Texas","Apr 1976","seasonally adjusted","5.9"
"Utah","Apr 1976","seasonally adjusted","5.7"
"Vermont","Apr 1976","seasonally adjusted","8.7"
"Virginia","Apr 1976","seasonally adjusted","5.8"
"Washington","Apr 1976","seasonally adjusted","8.7"
"West Virginia","Apr 1976","seasonally adjusted","7.9"
"Wisconsin","Apr 1976","seasonally adjusted","5.6"
"Wyoming","Apr 1976","seasonally adjusted","4.1"
"Alabama","Apr 1976","not seasonally adjusted","5.7"
"Alaska","Apr 1976","not seasonally adjusted","7.5"
"Arizona","Apr 1976","not seasonally adjusted","9.2"
"Arkansas","Apr 1976","not seasonally adjusted","7"
"California","Apr 1976","not seasonally adjusted","8.8"
"Colorado","Apr 1976","not seasonally adjusted","5.2"
"Connecticut","Apr 1976","not seasonally adjusted","9.3"
"Delaware","Apr 1976","not seasonally adjusted","7.9"
"District of Columbia","Apr 1976","not seasonally adjusted","8.2"
"Florida","Apr 1976","not seasonally adjusted","8.5"
"Georgia","Apr 1976","not seasonally adjusted","7.6"
"Hawaii","Apr 1976","not seasonally adjusted","9.7"
"Idaho","Apr 1976","not seasonally adjusted","6"
"Illinois","Apr 1976","not seasonally adjusted","6.2"
"Indiana","Apr 1976","not seasonally adjusted","6.1"
"Iowa","Apr 1976","not seasonally adjusted","4.1"
"Kansas","Apr 1976","not seasonally adjusted","4.2"
"Kentucky","Apr 1976","not seasonally adjusted","4.9"
"Louisiana","Apr 1976","not seasonally adjusted","5.7"
"Maine","Apr 1976","not seasonally adjusted","9"
"Maryland","Apr 1976","not seasonally adjusted","6.1"
"Massachusetts","Apr 1976","not seasonally adjusted","9.9"
"Michigan","Apr 1976","not seasonally adjusted","9.8"
"Minnesota","Apr 1976","not seasonally adjusted","5.9"
"Mississippi","Apr 1976","not seasonally adjusted","5.4"
"Missouri","Apr 1976","not seasonally adjusted","5.6"
"Montana","Apr 1976","not seasonally adjusted","6"
"Nebraska","Apr 1976","not seasonally adjusted","2.8"
"Nevada","Apr 1976","not seasonally adjusted","8.5"
"New Hampshire","Apr 1976","not seasonally adjusted","6.8"
"New Jersey","Apr 1976","not seasonally adjusted","10"
"New Mexico","Apr 1976","not seasonally adjusted","8.3"
"New York","Apr 1976","not seasonally adjusted","9.8"
"North Carolina","Apr 1976","not seasonally adjusted","5.7"
"North Dakota","Apr 1976","not seasonally adjusted","3.5"
"Ohio","Apr 1976","not seasonally adjusted","7.9"
"Oklahoma","Apr 1976","not seasonally adjusted","5.4"
"Oregon","Apr 1976","not seasonally adjusted","9.7"
"Pennsylvania","Apr 1976","not seasonally adjusted","7.9"
"Rhode Island","Apr 1976","not seasonally adjusted","7.8"
"South Carolina","Apr 1976","not seasonally adjusted","6.4"
"South Dakota","Apr 1976","not seasonally adjusted","3"
"Tennessee","Apr 1976","not seasonally adjusted","5.5"
"Texas","Apr 1976","not seasonally adjusted","5.2"
"Utah","Apr 1976","not seasonally adjusted","5.5"
"Vermont","Apr 1976","not seasonally adjusted","9"
"Virginia","Apr 1976","not seasonally adjusted","5.4"
"Washington","Apr 1976","not seasonally adjusted","8.5"
"West Virginia","Apr 1976","not seasonally adjusted","8.1"
"Wisconsin","Apr 1976","not seasonally adjusted","5.6"
"Wyoming","Apr 1976","not seasonally adjusted","4.2"
"Alabama","May 1976","seasonally adjusted","6.4"
"Alaska","May 1976","seasonally adjusted","7"
"Arizona","May 1976","seasonally adjusted","9.8"
"Arkansas","May 1976","seasonally adjusted","7.2"
"California","May 1976","seasonally adjusted","8.9"
"Colorado","May 1976","seasonally adjusted","5.5"
"Connecticut","May 1976","seasonally adjusted","9.6"
"Delaware","May 1976","seasonally adjusted","8.5"
"District of Columbia","May 1976","seasonally adjusted","8.7"
"Florida","May 1976","seasonally adjusted","9.1"
"Georgia","May 1976","seasonally adjusted","8.1"
"Hawaii","May 1976","seasonally adjusted","9.8"
"Idaho","May 1976","seasonally adjusted","5.6"
"Illinois","May 1976","seasonally adjusted","6.5"
"Indiana","May 1976","seasonally adjusted","6"
"Iowa","May 1976","seasonally adjusted","4"
"Kansas","May 1976","seasonally adjusted","4.2"
"Kentucky","May 1976","seasonally adjusted","5.5"
"Louisiana","May 1976","seasonally adjusted","6.6"
"Maine","May 1976","seasonally adjusted","8.6"
"Maryland","May 1976","seasonally adjusted","6.6"
"Massachusetts","May 1976","seasonally adjusted","9.9"
"Michigan","May 1976","seasonally adjusted","9.6"
"Minnesota","May 1976","seasonally adjusted","5.6"
"Mississippi","May 1976","seasonally adjusted","6.2"
"Missouri","May 1976","seasonally adjusted","6.1"
"Montana","May 1976","seasonally adjusted","5.9"
"Nebraska","May 1976","seasonally adjusted","3.1"
"Nevada","May 1976","seasonally adjusted","8.8"
"New Hampshire","May 1976","seasonally adjusted","6.6"
"New Jersey","May 1976","seasonally adjusted","10.3"
"New Mexico","May 1976","seasonally adjusted","8.9"
"New York","May 1976","seasonally adjusted","10.1"
"North Carolina","May 1976","seasonally adjusted","6"
"North Dakota","May 1976","seasonally adjusted","3.5"
"Ohio","May 1976","seasonally adjusted","7.9"
"Oklahoma","May 1976","seasonally adjusted","5.8"
"Oregon","May 1976","seasonally adjusted","9.2"
"Pennsylvania","May 1976","seasonally adjusted","8.1"
"Rhode Island","May 1976","seasonally adjusted","8.1"
"South Carolina","May 1976","seasonally adjusted","7.1"
"South Dakota","May 1976","seasonally adjusted","3"
"Tennessee","May 1976","seasonally adjusted","5.8"
"Texas","May 1976","seasonally adjusted","5.9"
"Utah","May 1976","seasonally adjusted","5.6"
"Vermont","May 1976","seasonally adjusted","8.6"
"Virginia","May 1976","seasonally adjusted","5.8"
"Washington","May 1976","seasonally adjusted","8.7"
"West Virginia","May 1976","seasonally adjusted","7.8"
"Wisconsin","May 1976","seasonally adjusted","5.5"
"Wyoming","May 1976","seasonally adjusted","4.1"
"Alabama","May 1976","not seasonally adjusted","5.2"
"Alaska","May 1976","not seasonally adjusted","7"
"Arizona","May 1976","not seasonally adjusted","8.6"
"Arkansas","May 1976","not seasonally adjusted","6.6"
"California","May 1976","not seasonally adjusted","7.8"
"Colorado","May 1976","not seasonally adjusted","4.6"
"Connecticut","May 1976","not seasonally adjusted","9"
"Delaware","May 1976","not seasonally adjusted","7.9"
"District of Columbia","May 1976","not seasonally adjusted","8.5"
"Florida","May 1976","not seasonally adjusted","7.7"
"Georgia","May 1976","not seasonally adjusted","7.1"
"Hawaii","May 1976","not seasonally adjusted","9.4"
"Idaho","May 1976","not seasonally adjusted","4.4"
"Illinois","May 1976","not seasonally adjusted","5.5"
"Indiana","May 1976","not seasonally adjusted","5.3"
"Iowa","May 1976","not seasonally adjusted","3.5"
"Kansas","May 1976","not seasonally adjusted","3.7"
"Kentucky","May 1976","not seasonally adjusted","4.8"
"Louisiana","May 1976","not seasonally adjusted","5.7"
"Maine","May 1976","not seasonally adjusted","8.2"
"Maryland","May 1976","not seasonally adjusted","5.9"
"Massachusetts","May 1976","not seasonally adjusted","9.4"
"Michigan","May 1976","not seasonally adjusted","8.7"
"Minnesota","May 1976","not seasonally adjusted","4.4"
"Mississippi","May 1976","not seasonally adjusted","5.2"
"Missouri","May 1976","not seasonally adjusted","5"
"Montana","May 1976","not seasonally adjusted","5.2"
"Nebraska","May 1976","not seasonally adjusted","2.7"
"Nevada","May 1976","not seasonally adjusted","7.7"
"New Hampshire","May 1976","not seasonally adjusted","6.3"
"New Jersey","May 1976","not seasonally adjusted","10.1"
"New Mexico","May 1976","not seasonally adjusted","8.3"
"New York","May 1976","not seasonally adjusted","9"
"North Carolina","May 1976","not seasonally adjusted","5.4"
"North Dakota","May 1976","not seasonally adjusted","3.1"
"Ohio","May 1976","not seasonally adjusted","6.9"
"Oklahoma","May 1976","not seasonally adjusted","5.5"
"Oregon","May 1976","not seasonally adjusted","8.1"
"Pennsylvania","May 1976","not seasonally adjusted","7.6"
"Rhode Island","May 1976","not seasonally adjusted","7.3"
"South Carolina","May 1976","not seasonally adjusted","6.1"
"South Dakota","May 1976","not seasonally adjusted","2.9"
"Tennessee","May 1976","not seasonally adjusted","4.8"
"Texas","May 1976","not seasonally adjusted","5.1"
"Utah","May 1976","not seasonally adjusted","4.7"
"Vermont","May 1976","not seasonally adjusted","8.3"
"Virginia","May 1976","not seasonally adjusted","5.2"
"Washington","May 1976","not seasonally adjusted","7.9"
"West Virginia","May 1976","not seasonally adjusted","7.3"
"Wisconsin","May 1976","not seasonally adjusted","4.8"
"Wyoming","May 1976","not seasonally adjusted","3.7"
